stadium_id,stadium_name,team_id,team_name,latitude,longitude,capacity,opened_year,address,city,state,zip_code
1,Yankee Stadium,147,New York Yankees,40.8296467,-73.9261727,47422,2009,1 East 161st Street,Bronx,NY,10451
2,Fenway Park,111,Boston Red Sox,42.3466764,-71.0972178,37755,1912,4 Jersey Street,Boston,MA,2215
3,Wrigley Field,112,Chicago Cubs,41.9484384,-87.6553327,41649,1914,1060 West Addison Street,Chicago,IL,60613
4,Dodger Stadium,119,Los Angeles Dodgers,34.0739016,-118.2400732,56000,1962,1000 Vin Scully Avenue,Los Angeles,CA,90012
5,Oracle Park,137,San Francisco Giants,37.7785951,-122.3892698,41915,2000,24 Willie Mays Plaza,San Francisco,CA,94107
6,Camden Yards,110,Baltimore Orioles,39.2838653,-76.6210539,45971,1992,333 West Camden Street,Baltimore,MD,21201
7,Citi Field,121,New York Mets,40.7570877,-73.8458213,41922,2009,41 Seaver Way,Queens,NY,11368
8,T-Mobile Park,136,Seattle Mariners,47.5914182,-122.3325813,47943,1999,1250 1st Avenue South,Seattle,WA,98134
9,Busch Stadium,138,St. Louis Cardinals,38.6226188,-90.1928209,45494,2006,700 Clark Avenue,St. Louis,MO,63102
10,Minute Maid Park,117,Houston Astros,29.7573246,-95.3553583,41168,2000,501 Crawford Street,Houston,TX,77002
11,Truist Park,144,Atlanta Braves,33.8911869,-84.4677802,41084,2017,755 Battery Avenue SE,Atlanta,GA,30339
12,PNC Park,134,Pittsburgh Pirates,40.4468693,-80.0055741,38747,2001,115 Federal Street,Pittsburgh,PA,15212
13,Petco Park,135,San Diego Padres,32.7076567,-117.1569292,40209,2004,100 Park Boulevard,San Diego,CA,92101
14,American Family Field,158,Milwaukee Brewers,43.0280536,-87.9711868,41900,2001,1 Brewers Way,Milwaukee,WI,53214
15,Comerica Park,116,Detroit Tigers,42.3399027,-83.0490324,41083,2000,2100 Woodward Avenue,Detroit,MI,48201
16,Rogers Centre,141,Toronto Blue Jays,43.6414375,-79.3893548,49282,1989,1 Blue Jays Way,Toronto,ON,M5V 1J1
17,Kauffman Stadium,118,Kansas City Royals,39.0514718,-94.4809261,37903,1973,1 Royal Way,Kansas City,MO,64129
18,Great American Ball Park,113,Cincinnati Reds,39.0979313,-84.5082139,42319,2003,100 Joe Nuxhall Way,Cincinnati,OH,45202
19,Progressive Field,114,Cleveland Guardians,41.4962923,-81.6852349,35041,1994,2401 Ontario Street,Cleveland,OH,44115
20,Tropicana Field,139,Tampa Bay Rays,27.7684201,-82.6533974,25000,1990,1 Tropicana Drive,St. Petersburg,FL,33705
21,Citizens Bank Park,143,Philadelphia Phillies,39.9060688,-75.1666468,42792,2004,1 Citizens Bank Way,Philadelphia,PA,19148
22,Target Field,142,Minnesota Twins,44.9818542,-93.2775935,38544,2010,1 Twins Way,Minneapolis,MN,55403
23,Nationals Park,120,Washington Nationals,38.8730146,-77.0074141,41339,2008,1500 South Capitol Street SE,Washington,DC,20003
24,Globe Life Field,140,Texas Rangers,32.7472206,-97.0838193,40300,2020,734 Stadium Drive,Arlington,TX,76011
25,LoanDepot Park,146,Miami Marlins,25.7784048,-80.2204896,36742,2012,501 Marlins Way,Miami,FL,33125
26,Sutter Health Park,133,Oakland Athletics,38.5800621,-121.5127333,14014,2000,400 Ballpark Drive,West Sacramento,CA,95691
27,Angel Stadium,108,Los Angeles Angels,33.8002988,-117.8827462,45517,1966,2000 East Gene Autry Way,Anaheim,CA,92806
28,Chase Field,109,Arizona Diamondbacks,33.4453196,-112.0667297,48405,1998,401 East Jefferson Street,Phoenix,AZ,85004
29,Coors Field,115,Colorado Rockies,39.7559779,-104.9942004,50398,1995,2001 Blake Street,Denver,CO,80205
30,Guaranteed Rate Field,145,Chicago White Sox,41.8299481,-87.6337387,40615,1991,333 West 35th Street,Chicago,IL,60616
