id,snapshot_time,game_id,home_team,away_team,commence_time,bookmaker,market,outcome,odds,point,created_at
51215,53:36.0,572e61378dcce940e73987b86d7b11c6,Los Angeles Angels,Seattle Mariners,39:00.0,DraftKings,h2h,Los Angeles Angels,1.81,NULL,53:37.3
51216,53:36.0,572e61378dcce940e73987b86d7b11c6,Los Angeles Angels,Seattle Mariners,39:00.0,DraftKings,h2h,Seattle Mariners,2.01,NULL,53:37.3
51217,53:36.0,572e61378dcce940e73987b86d7b11c6,Los Angeles Angels,Seattle Mariners,39:00.0,DraftKings,totals,Over,1.91,9,53:37.3
51218,53:36.0,572e61378dcce940e73987b86d7b11c6,Los Angeles Angels,Seattle Mariners,39:00.0,DraftKings,totals,Under,1.91,9,53:37.3
51211,53:36.0,e2b36815e9915779b0c9642b248bce19,Houston Astros,Oakland Athletics,11:00.0,DraftKings,h2h,Houston Astros,1.81,NULL,53:37.3
51212,53:36.0,e2b36815e9915779b0c9642b248bce19,Houston Astros,Oakland Athletics,11:00.0,DraftKings,h2h,Oakland Athletics,2.01,NULL,53:37.3
51213,53:36.0,e2b36815e9915779b0c9642b248bce19,Houston Astros,Oakland Athletics,11:00.0,DraftKings,totals,Over,1.84,8,53:37.3
51214,53:36.0,e2b36815e9915779b0c9642b248bce19,Houston Astros,Oakland Athletics,11:00.0,DraftKings,totals,Under,1.98,8,53:37.3
51207,53:36.0,8046f443e963e8cf1cb9dbb06006ccb1,St. Louis Cardinals,San Diego Padres,46:00.0,DraftKings,h2h,San Diego Padres,2.12,NULL,53:37.3
51208,53:36.0,8046f443e963e8cf1cb9dbb06006ccb1,St. Louis Cardinals,San Diego Padres,46:00.0,DraftKings,h2h,St. Louis Cardinals,1.73,NULL,53:37.3
51209,53:36.0,8046f443e963e8cf1cb9dbb06006ccb1,St. Louis Cardinals,San Diego Padres,46:00.0,DraftKings,totals,Over,1.85,8,53:37.3
51210,53:36.0,8046f443e963e8cf1cb9dbb06006ccb1,St. Louis Cardinals,San Diego Padres,46:00.0,DraftKings,totals,Under,1.97,8,53:37.3
51203,53:36.0,5859a6b076d83bb9262f64a1eab378cf,Detroit Tigers,Toronto Blue Jays,40:00.0,DraftKings,h2h,Detroit Tigers,1.76,NULL,53:37.3
51204,53:36.0,5859a6b076d83bb9262f64a1eab378cf,Detroit Tigers,Toronto Blue Jays,40:00.0,DraftKings,h2h,Toronto Blue Jays,2.08,NULL,53:37.3
51205,53:36.0,5859a6b076d83bb9262f64a1eab378cf,Detroit Tigers,Toronto Blue Jays,40:00.0,DraftKings,totals,Over,1.98,9,53:37.3
51206,53:36.0,5859a6b076d83bb9262f64a1eab378cf,Detroit Tigers,Toronto Blue Jays,40:00.0,DraftKings,totals,Under,1.84,9,53:37.3
